state,year,quarter,transaction_count,transaction_amount,transaction_type_Financial Services,transaction_type_Merchant payments,transaction_type_Others,transaction_type_Peer-to-peer payments,transaction_type_Recharge & bill payments,avg_amount_per_transaction,amount_scaled,count_scaled,principal_component_1,principal_component_2
rajasthan,2019,3,29885618,97443950786.5758,False,False,False,True,False,3260.5633514614224,0.10728844735322669,-0.09967706430321827,28806218607.8188,-29056527.97534687
rajasthan,2019,3,19646612,6705923742.563935,False,True,False,False,False,341.3272345666487,-0.23066423167101724,-0.16023422525063982,-61931804631.76379,-856349.8363335431
rajasthan,2019,3,16970783,7872719571.602099,False,False,False,False,True,463.8984289412044,-0.22631851478534484,-0.17606003953581342,-60765010040.9792,-4026466.16357274
rajasthan,2019,3,217029,37899900.33366185,True,False,False,False,False,174.6305808609073,-0.2554992054377074,-0.27514776127867674,-68599836106.58798,-17461168.437839985
rajasthan,2019,3,583575,407796030.8547787,False,False,True,False,False,698.7894115662575,-0.254121531794774,-0.27297987651362887,-68229939853.97859,-17251320.887003686
rajasthan,2024,1,919893321,461976302970.0,False,True,False,False,False,502.20638896235664,1.4649847630516346,5.16414832216652,393338915113.9284,706524926.4254509
rajasthan,2024,1,566762679,1797249393778.0,False,False,False,True,False,3171.0792900991282,6.438193162752302,3.075606805239945,1728611736511.2405,-212264963.23026738
rajasthan,2024,1,111655206,90033046149.0,False,False,False,False,True,806.3488427848138,0.07968662309219081,0.38393766364208726,21395349275.12642,55852520.56514672
rajasthan,2024,1,475140,770584971.0,True,False,False,False,False,1621.8061434524561,-0.2527703287960249,-0.2736212000705575,-67867150992.322685,-17513443.487582542
rajasthan,2024,1,687661,470845922.0,False,False,True,False,False,684.7064498350204,-0.2538867032414225,-0.2723642745055459,-68166889924.3971,-17173944.605565645
rajasthan,2024,4,1255692535,612426670218.0,False,True,False,False,False,487.7202445246678,2.025335327506611,7.150185545722758,543789411115.9573,978589098.4076142
rajasthan,2024,4,672419613,2073546444802.0,False,False,False,True,False,3083.70904821005,7.467258171569035,3.7004998815257775,2004908807502.2449,-223655249.38453677
rajasthan,2024,4,112704437,105312390698.0,False,False,False,False,True,934.4121092410941,0.13659435618147667,0.3901431928250982,36674692897.58833,50428990.89047987
rajasthan,2024,4,2077251,1154736814.0,True,False,False,False,False,555.8966220259372,-0.25133955992520757,-0.26414573988598156,-67482998505.09346,-16074070.168826604
rajasthan,2024,4,575711,609128876.0,False,False,True,False,False,1058.0462697429787,-0.2533716700597442,-0.2730263870356161,-68028607030.23046,-17344475.14854984
